Ï‰,z,E,p,grid_points,grid_size,L,t_failed,worked?
2.33,0.024,100,0.488,60,3,2,1.798,False
2.33,0.024,100,0.036,60,3,2,1.798,False
2.33,0.024,100,0.056,60,3,2,1.798,False
12.5,0.5,50,6.25,40,3,2,1.726,False
12.5,0.5,50,0.125,40,3,2,1.714,False
0.99,0.01,100,0.321,60,3,2,1.606,False
1.52,0.015,100,0.319,60,3,2,1.596,False
0.99,0.01,100,0.087,60,3,2,1.596,False
0.99,0.01,100,0.134,60,3,2,1.591,False
1.52,0.015,100,0.087,60,3,2,1.591,False
0.99,0.01,100,0.495,60,3,2,1.585,False
1.52,0.015,100,0.492,60,3,2,1.585,False
1.52,0.015,100,0.134,60,3,2,1.585,False
0.99,0.01,100,0.056,60,3,2,1.585,False
1.52,0.015,100,0.76,60,3,2,1.58,False
0.99,0.01,100,0.015,60,3,2,1.58,False
0.99,0.01,100,0.024,60,3,2,1.58,False
1.52,0.015,100,0.056,60,3,2,1.58,False
0.99,0.01,100,0.036,60,3,2,1.58,False
0.99,0.01,100,0.208,60,3,2,1.58,False
0.99,0.01,100,0.01,60,3,2,1.58,False
1.52,0.015,100,0.206,60,3,2,1.575,False
1.52,0.015,100,0.015,60,3,2,1.575,False
1.52,0.015,100,0.036,60,3,2,1.575,False
1.52,0.015,100,0.023,60,3,2,1.575,False
11.73,0.136,100,0.117,50,3,2,1.496,False
11.73,0.136,100,1.592,50,3,2,1.496,False
11.73,0.136,100,0.117,50,3,2,1.496,False
11.73,0.136,100,1.592,50,3,2,1.496,False
11.73,0.136,100,2.459,50,3,2,1.489,False
11.73,0.136,100,0.28,50,3,2,1.489,False
11.73,0.136,100,1.031,50,3,2,1.489,False
11.73,0.136,100,0.667,50,3,2,1.489,False
11.73,0.136,100,3.797,50,3,2,1.489,False
11.73,0.136,100,0.181,50,3,2,1.489,False
11.73,0.136,100,0.667,50,3,2,1.489,False
11.73,0.136,100,0.432,50,3,2,1.489,False
11.73,0.136,100,5.865,50,3,2,1.489,False
11.73,0.136,100,1.031,50,3,2,1.489,False
11.73,0.136,100,0.181,50,3,2,1.489,False
11.73,0.136,100,0.4320000000000001,50,3,2,1.489,False
11.73,0.136,100,0.28,50,3,2,1.489,False
11.73,0.136,100,2.346,50,3,2,1.474,False
21.89,0.324,100,10.947,40,3,2,1.4169999999999998,False
21.89,0.324,100,0.219,40,3,2,1.405,False
0.23,0.024,10,0.047,60,3,2,1.3259999999999998,False
0.23,0.024,10,0.047,60,3,2,1.3259999999999998,False
5.87,0.136,50,1.173,50,3,2,1.301,False
10.95,0.324,50,0.109,40,3,2,1.274,False
10.95,0.324,50,5.473,40,3,2,1.25,False
2.5,0.5,10,1.25,40,3,2,1.202,False
2.5,0.5,10,0.025,40,3,2,1.202,False
8.02,0.088,100,2.595,50,3,2,1.06,False
8.02,0.088,100,0.124,50,3,2,1.06,False
8.02,0.088,100,0.295,50,3,2,1.06,False
8.02,0.088,100,0.08,50,3,2,1.06,False
8.02,0.088,100,0.704,50,3,2,1.06,False
8.02,0.088,100,0.08,50,3,2,1.06,False
8.02,0.088,100,2.595,50,3,2,1.06,False
8.02,0.088,100,0.7040000000000001,50,3,2,1.06,False
8.02,0.088,100,0.295,50,3,2,1.06,False
8.02,0.088,100,0.456,50,3,2,1.06,False
8.02,0.088,100,0.124,50,3,2,1.06,False
8.02,0.088,100,0.456,50,3,2,1.06,False
8.02,0.088,100,4.008,50,3,2,1.053,False
8.02,0.088,100,1.088,50,3,2,1.053,False
8.02,0.088,100,1.68,50,3,2,1.053,False
8.02,0.088,100,0.191,50,3,2,1.053,False
8.02,0.088,100,1.088,50,3,2,1.053,False
8.02,0.088,100,4.008,50,3,2,1.053,False
8.02,0.088,100,1.68,50,3,2,1.053,False
8.02,0.088,100,1.6030000000000002,50,3,2,1.053,False
8.02,0.088,100,0.191,50,3,2,1.053,False
16.57,0.21,100,0.166,40,3,2,0.988,False
16.57,0.21,100,8.283999999999999,40,3,2,0.988,False
1.17,0.136,10,0.235,50,3,2,0.917,False
4.01,0.088,50,0.802,50,3,2,0.91,False
2.19,0.324,10,0.022,40,3,2,0.893,False
2.19,0.324,10,1.095,40,3,2,0.893,False
8.28,0.21,50,0.083,40,3,2,0.8809999999999999,False
8.28,0.21,50,4.142,40,3,2,0.8809999999999999,False
5.37,0.057,100,1.125,50,3,2,0.85,False
5.37,0.057,100,0.128,50,3,2,0.85,False
5.37,0.057,100,0.083,50,3,2,0.85,False
5.37,0.057,100,1.125,50,3,2,0.85,False
5.37,0.057,100,0.128,50,3,2,0.85,False
5.37,0.057,100,0.728,50,3,2,0.85,False
5.37,0.057,100,0.305,50,3,2,0.85,False
5.37,0.057,100,0.728,50,3,2,0.85,False
5.37,0.057,100,0.305,50,3,2,0.85,False
5.37,0.057,100,0.083,50,3,2,0.85,False
5.37,0.057,100,0.198,50,3,2,0.8420000000000001,False
5.37,0.057,100,1.737,50,3,2,0.8420000000000001,False
5.37,0.057,100,2.6830000000000003,50,3,2,0.8420000000000001,False
5.37,0.057,100,0.472,50,3,2,0.8420000000000001,False
5.37,0.057,100,1.073,50,3,2,0.8420000000000001,False
5.37,0.057,100,0.054,50,3,2,0.8420000000000001,False
5.37,0.057,100,1.737,50,3,2,0.842,False
5.37,0.057,100,0.472,50,3,2,0.842,False
5.37,0.057,100,2.683,50,3,2,0.842,False
5.37,0.057,100,0.198,50,3,2,0.842,False
5.37,0.057,100,0.054,50,3,2,0.842,False
11.73,0.136,100,0.117,40,3,2,0.7859999999999999,False
11.73,0.136,100,5.865,40,3,2,0.7859999999999999,False
2.68,0.057,50,0.537,50,3,2,0.7290000000000001,False
3.55,0.037,100,0.312,50,3,2,0.722,False
3.55,0.037,100,0.744,50,3,2,0.722,False
3.55,0.037,100,1.149,50,3,2,0.722,False
3.55,0.037,100,0.7440000000000001,50,3,2,0.722,False
3.55,0.037,100,1.149,50,3,2,0.722,False
3.55,0.037,100,0.085,50,3,2,0.722,False
3.55,0.037,100,0.312,50,3,2,0.722,False
3.55,0.037,100,0.085,50,3,2,0.722,False
3.55,0.037,100,0.71,50,3,2,0.7140000000000001,False
3.55,0.037,100,0.482,50,3,2,0.7140000000000001,False
3.55,0.037,100,1.774,50,3,2,0.7140000000000001,False
3.55,0.037,100,0.055,50,3,2,0.7140000000000001,False
3.55,0.037,100,0.131,50,3,2,0.7140000000000001,False
3.55,0.037,100,0.202,50,3,2,0.7140000000000001,False
3.55,0.037,100,0.035,50,3,2,0.7140000000000001,False
3.55,0.037,100,0.202,50,3,2,0.714,False
3.55,0.037,100,0.131,50,3,2,0.714,False
3.55,0.037,100,0.035,50,3,2,0.714,False
3.55,0.037,100,1.774,50,3,2,0.714,False
3.55,0.037,100,0.055,50,3,2,0.714,False
3.55,0.037,100,0.482,50,3,2,0.714,False
5.87,0.136,50,2.9330000000000003,40,3,2,0.69,False
5.87,0.136,50,0.059,40,3,2,0.69,False
8.02,0.088,100,0.08,40,3,2,0.667,False
8.02,0.088,100,4.008,40,3,2,0.667,False
0.8,0.088,10,0.16,50,3,2,0.654,False
2.33,0.024,100,0.316,50,3,2,0.632,False
2.33,0.024,100,0.316,50,3,2,0.632,False
2.33,0.024,100,0.056,50,3,2,0.624,False
2.33,0.024,100,0.036,50,3,2,0.624,False
2.33,0.024,100,0.056,50,3,2,0.624,False
2.33,0.024,100,1.164,50,3,2,0.624,False
2.33,0.024,100,0.086,50,3,2,0.624,False
2.33,0.024,100,0.754,50,3,2,0.624,False
2.33,0.024,100,0.036,50,3,2,0.624,False
2.33,0.024,100,0.132,50,3,2,0.624,False
2.33,0.024,100,0.488,50,3,2,0.624,False
2.33,0.024,100,0.132,50,3,2,0.624,False
2.33,0.024,100,0.488,50,3,2,0.624,False
2.33,0.024,100,1.164,50,3,2,0.624,False
2.33,0.024,100,0.086,50,3,2,0.624,False
2.33,0.024,100,0.754,50,3,2,0.624,False
1.66,0.21,10,0.828,40,3,2,0.619,False
1.66,0.21,10,0.017,40,3,2,0.619,False
2.33,0.024,100,0.205,50,3,2,0.617,False
2.33,0.024,100,0.023,50,3,2,0.617,False
2.33,0.024,100,0.466,50,3,2,0.617,False
2.33,0.024,100,0.023,50,3,2,0.617,False
2.33,0.024,100,0.205,50,3,2,0.617,False
1.77,0.037,50,0.355,50,3,2,0.609,False
4.01,0.088,50,2.004,40,3,2,0.583,False
4.01,0.088,50,0.04,40,3,2,0.583,False
5.37,0.057,100,2.6830000000000003,40,3,2,0.583,False
5.37,0.057,100,0.054,40,3,2,0.583,False
2.19,0.324,10,0.438,30,3,2,0.565,False
1.52,0.015,100,0.134,50,3,2,0.556,False
1.52,0.015,100,0.134,50,3,2,0.556,False
1.52,0.015,100,0.319,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.023,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.0559999999999999,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.304,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.76,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.087,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.4920000000000001,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.036,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.4920000000000001,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.015,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.76,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.036,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.206,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.319,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.206,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.015,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.087,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.0559999999999999,50,3,2,0.5489999999999999,False
1.52,0.015,100,0.023,50,3,2,0.5489999999999999,False
1.16,0.024,50,0.233,50,3,2,0.526,False
3.55,0.037,100,1.774,40,3,2,0.524,False
3.55,0.037,100,0.035,40,3,2,0.524,False
0.54,0.057,10,0.107,50,3,2,0.519,False
2.68,0.057,50,0.027,40,3,2,0.512,False
2.68,0.057,50,1.342,40,3,2,0.512,False
1.17,0.136,10,0.012,40,3,2,0.488,False
1.17,0.136,10,0.5870000000000001,40,3,2,0.488,False
0.99,0.01,100,0.321,50,3,2,0.481,False
0.99,0.01,100,0.321,50,3,2,0.481,False
0.99,0.01,100,0.087,50,3,2,0.481,False
0.99,0.01,100,0.087,50,3,2,0.481,False
1.66,0.21,10,0.331,30,3,2,0.478,False
2.33,0.024,100,1.164,40,3,2,0.476,False
2.33,0.024,100,0.023,40,3,2,0.476,False
0.99,0.01,100,0.036,50,3,2,0.474,False
0.99,0.01,100,0.015,50,3,2,0.474,False
0.99,0.01,100,0.134,50,3,2,0.474,False
0.99,0.01,100,0.024,50,3,2,0.474,False
0.99,0.01,100,0.056,50,3,2,0.474,False
0.99,0.01,100,0.495,50,3,2,0.474,False
0.99,0.01,100,0.198,50,3,2,0.474,False
0.99,0.01,100,0.01,50,3,2,0.474,False
0.99,0.01,100,0.495,50,3,2,0.474,False
0.99,0.01,100,0.024,50,3,2,0.474,False
0.99,0.01,100,0.015,50,3,2,0.474,False
0.99,0.01,100,0.056,50,3,2,0.474,False
0.99,0.01,100,0.01,50,3,2,0.474,False
0.99,0.01,100,0.208,50,3,2,0.474,False
0.99,0.01,100,0.208,50,3,2,0.474,False
0.99,0.01,100,0.036,50,3,2,0.474,False
0.99,0.01,100,0.134,50,3,2,0.474,False
0.76,0.015,50,0.152,50,3,2,0.4589999999999999,False
1.77,0.037,50,0.018,40,3,2,0.452,False
1.77,0.037,50,0.887,40,3,2,0.452,False
2.5,0.5,10,0.5,30,3,2,0.435,False
1.52,0.015,100,0.76,40,3,2,0.429,False
0.35,0.037,10,0.071,50,3,2,0.414,False
0.49,0.01,50,0.099,50,3,2,0.406,False
0.8,0.088,10,0.401,40,3,2,0.405,False
1.16,0.024,50,0.012,40,3,2,0.405,False
1.16,0.024,50,0.5820000000000001,40,3,2,0.405,False
0.8,0.088,10,0.008,40,3,2,0.405,False
1.17,0.136,10,0.235,30,3,2,0.37,False
0.76,0.015,50,0.38,40,3,2,0.357,False
0.76,0.015,50,0.008,40,3,2,0.357,False
0.15,0.015,10,0.03,60,3,2,0.347,False
0.15,0.015,10,0.03,60,3,2,0.347,False
0.54,0.057,10,0.005,40,3,2,0.345,False
0.54,0.057,10,0.268,40,3,2,0.345,False
0.23,0.024,10,0.047,50,3,2,0.338,False
0.49,0.01,50,0.005,40,3,2,0.321,False
0.49,0.01,50,0.247,40,3,2,0.321,False
0.35,0.037,10,0.177,40,3,2,0.31,False
0.8,0.088,10,0.16,30,3,2,0.304,False
0.35,0.037,10,0.004,40,3,2,0.298,False
0.54,0.057,10,0.107,30,3,2,0.283,False
0.23,0.024,10,0.1159999999999999,40,3,2,0.2739999999999999,False
0.23,0.024,10,0.002,40,3,2,0.262,False
0.15,0.015,10,0.03,50,3,2,0.241,False
0.35,0.037,10,0.071,30,3,2,0.239,False
0.23,0.024,10,0.047,30,3,2,0.217,False
0.15,0.015,10,0.076,40,3,2,0.214,False
0.15,0.015,10,0.002,40,3,2,0.214,False
0.15,0.015,10,0.03,30,3,2,0.196,False
0.1,0.01,10,0.02,30,3,2,0.174,False
0.1,0.01,10,0.001,40,3,2,0.155,False
0.1,0.01,10,0.049,40,3,2,0.155,False
0.1,0.01,10,0.02,50,3,2,0.12,False
0.1,0.01,10,0.02,60,3,2,0.078,False
0.1,0.01,10,0.02,60,3,2,0.078,False
0.1,0.01,10,0.02,40,3,2,0.012,False
0.8,0.088,10,0.16,40,3,2,0.012,False
0.54,0.057,10,0.107,40,3,2,0.012,False
0.15,0.015,10,0.03,40,3,2,0.012,False
0.35,0.037,10,0.071,40,3,2,0.012,False
0.23,0.024,10,0.047,40,3,2,0.012,False
0.99,0.01,100,0.495,40,3,2,0.0119047619047619,False
1.52,0.015,100,0.015,40,3,2,0.0119047619047619,False
0.99,0.01,100,0.01,40,3,2,0.0119047619047619,False
